bcr_sample_barcode	bcr_analyte_barcode	a260_a280_ratio	amount	analyte_type	concentration	gel_image_file	spectrophotometer_method	well_number	analyte_type_id	bcr_analyte_uuid
TCGA-A1-A0SB-01A	TCGA-A1-A0SB-01A-11D	1.86	76.96	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	D	111bffdf-9ffd-4e33-8e19-961b3c75d2ad
TCGA-A1-A0SB-01A	TCGA-A1-A0SB-01A-11R	2.04	35.04	RNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	R	f461ddd2-2e96-4533-a5e6-880c40525bd5
TCGA-A1-A0SB-01A	TCGA-A1-A0SB-01A-11W	[Not Available]	[Not Available]	Repli-G (Qiagen) DNA	[Not Available]	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	W	D9ACC66C-E592-4406-A3D1-3031E94FDB40
TCGA-A1-A0SB-10B	TCGA-A1-A0SB-10B-01D	1.91	10.00	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	D	c8b80ad4-053c-4083-999d-d6756e94b8c3
TCGA-A1-A0SB-10B	TCGA-A1-A0SB-10B-01W	[Not Available]	[Not Available]	Repli-G (Qiagen) DNA	[Not Available]	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	W	6BD074B0-B5CB-4C51-AC2C-3F39EA451AAF
TCGA-A1-A0SD-01A	TCGA-A1-A0SD-01A-11D	2.00	19.95	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	D	82c453b1-e06a-4496-8f8c-480637a7cfe5
TCGA-A1-A0SD-01A	TCGA-A1-A0SD-01A-11R	1.71	14.74	RNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	R	ae4a1732-c0ef-45d5-8f58-f8c2927ccea9
TCGA-A1-A0SD-01A	TCGA-A1-A0SD-01A-11W	[Not Available]	[Not Available]	Repli-G (Qiagen) DNA	[Not Available]	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	W	5414BDEF-B260-4E5B-89C3-9685C6E7C995
TCGA-A1-A0SD-10A	TCGA-A1-A0SD-10A-01D	1.95	21.34	DNA	0.17	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	D	bb5223ac-97c8-441c-9c90-8857fd83c876
TCGA-A1-A0SD-10A	TCGA-A1-A0SD-10A-01W	[Not Available]	[Not Available]	Repli-G (Qiagen) DNA	[Not Available]	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	W	96826611-33E3-4FAB-832E-38161A760A23
TCGA-A1-A0SE-01A	TCGA-A1-A0SE-01A-11D	2.00	40.28	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	D	c40059b4-74f3-4f09-a59b-12ccdd4c4d19
TCGA-A1-A0SE-01A	TCGA-A1-A0SE-01A-11R	1.98	34.35	RNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	R	19ab2773-71b0-4bba-b53c-782d79344e31
TCGA-A1-A0SE-01A	TCGA-A1-A0SE-01A-11W	[Not Available]	[Not Available]	Repli-G (Qiagen) DNA	[Not Available]	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	W	23650C16-22C7-4BE9-8C2D-D8F1A1C10B6B
TCGA-A1-A0SE-01A	TCGA-A1-A0SE-01A-11X	[Not Available]	[Not Available]	Repli-G X (Qiagen) DNA	[Not Available]	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	X	1E2E8035-F58A-4A94-AB79-2898F5F0089E
TCGA-A1-A0SE-10A	TCGA-A1-A0SE-10A-03D	1.97	18.25	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	D	9687b69e-ed3a-4c2a-bf14-efb7ba0da021
