bcr_sample_barcode	bcr_analyte_barcode	experimental_protocol_type	protocol_file_name	protocol_name
TCGA-A1-A0SB-01A	TCGA-A1-A0SB-01A-11D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-A1-A0SB-01A	TCGA-A1-A0SB-01A-11R	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-A1-A0SB-01A	TCGA-A1-A0SB-01A-11W	Repli-G	[Not Available]	[Not Available]
TCGA-A1-A0SB-10B	TCGA-A1-A0SB-10B-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-A1-A0SB-10B	TCGA-A1-A0SB-10B-01W	Repli-G	[Not Available]	[Not Available]
TCGA-A1-A0SD-01A	TCGA-A1-A0SD-01A-11D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-A1-A0SD-01A	TCGA-A1-A0SD-01A-11R	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-A1-A0SD-01A	TCGA-A1-A0SD-01A-11W	Repli-G	[Not Available]	[Not Available]
TCGA-A1-A0SD-10A	TCGA-A1-A0SD-10A-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-A1-A0SD-10A	TCGA-A1-A0SD-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-A1-A0SE-01A	TCGA-A1-A0SE-01A-11D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-A1-A0SE-01A	TCGA-A1-A0SE-01A-11R	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-A1-A0SE-01A	TCGA-A1-A0SE-01A-11W	Repli-G	[Not Available]	[Not Available]
TCGA-A1-A0SE-01A	TCGA-A1-A0SE-01A-11X	Repli-G X	[Not Available]	[Not Available]
TCGA-A1-A0SE-10A	TCGA-A1-A0SE-10A-03D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-A1-A0SE-10A	TCGA-A1-A0SE-10A-03W	Repli-G	[Not Available]	[Not Available]
TCGA-A1-A0SE-10A	TCGA-A1-A0SE-10A-03X	Repli-G X	[Not Available]	[Not Available]
TCGA-A1-A0SF-01A	TCGA-A1-A0SF-01A-11D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-A1-A0SF-01A	TCGA-A1-A0SF-01A-11R	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-A1-A0SF-01A	TCGA-A1-A0SF-01A-11W	Repli-G	[Not Available]	[Not Available]
TCGA-A1-A0SF-10B	TCGA-A1-A0SF-10B-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-A1-A0SF-10B	TCGA-A1-A0SF-10B-01W	Repli-G	[Not Available]	[Not Available]
TCGA-A1-A0SG-01A	TCGA-A1-A0SG-01A-11D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-A1-A0SG-01A	TCGA-A1-A0SG-01A-11R	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-A1-A0SG-01A	TCGA-A1-A0SG-01A-11W	Repli-G	[Not Available]	[Not Available]
TCGA-A1-A0SG-10B	TCGA-A1-A0SG-10B-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-A1-A0SG-10B	TCGA-A1-A0SG-10B-01W	Repli-G	[Not Available]	[Not Available]
TCGA-A1-A0SH-01A	TCGA-A1-A0SH-01A-11D	aDNA Preparation Type	[Not Available]	[Not Available]
