bcr_sample_barcode	shipment_portion_bcr_aliquot_barcode	shipment_portion_day_of_shipment	shipment_portion_month_of_shipment	shipment_portion_year_of_shipment	bcr_shipment_portion_uuid	center_id	plate_id	portion_number
TCGA-A1-A0SF-01A	TCGA-A1-A0SF-01A-21-A17I-20	27	7	2011	F0B3D871-C0AA-4EF8-AB74-C3E812393ED5	20	A17I	21
TCGA-A1-A0SH-01A	TCGA-A1-A0SH-01A-21-A13A-20	18	3	2011	4760c029-9150-4384-b036-263684155c89	20	A13A	21
TCGA-A1-A0SJ-01A	TCGA-A1-A0SJ-01A-21-A13A-20	18	3	2011	33773418-77f8-4219-9b75-04d5ba09bb97	20	A13A	21
TCGA-A1-A0SK-01A	TCGA-A1-A0SK-01A-21-A13A-20	17	3	2011	8d8099ba-c207-473b-8ffc-e9610494386c	20	A13A	21
TCGA-A1-A0SO-01A	TCGA-A1-A0SO-01A-11-A13A-20	18	3	2011	3c86150e-49f3-4303-bd6e-3d4bcc4aad50	20	A13A	11
TCGA-A1-A0SQ-01A	TCGA-A1-A0SQ-01A-11-A17I-20	27	7	2011	5F624F7E-A0D0-454E-BA7A-6CA212EC4FDA	20	A17I	11
TCGA-A2-A04N-01A	TCGA-A2-A04N-01A-21-A13A-20	18	3	2011	2ef34d44-4aa3-4b06-8029-f92c4b3a49a7	20	A13A	21
TCGA-A2-A04P-01A	TCGA-A2-A04P-01A-41-A13A-20	18	3	2011	15a1aee0-d9cf-4122-9290-0d4bfaee159a	20	A13A	41
TCGA-A2-A04Q-01A	TCGA-A2-A04Q-01A-11-A13A-20	18	3	2011	9e43165b-f93c-4a25-a1c8-7bdad54cee95	20	A13A	11
TCGA-A2-A04T-01A	TCGA-A2-A04T-01A-31-A13A-20	18	3	2011	2724de89-78e5-4da5-b2d9-350a986a8abb	20	A13A	31
TCGA-A2-A04U-01A	TCGA-A2-A04U-01A-21-A13A-20	18	3	2011	485e1504-dfe0-43a4-83a1-f4376e8e687b	20	A13A	21
TCGA-A2-A04V-01A	TCGA-A2-A04V-01A-11-A13A-20	18	3	2011	676bd916-c1a1-4b1f-b406-0c3bae66640e	20	A13A	11
TCGA-A2-A04W-01A	TCGA-A2-A04W-01A-21-A13A-20	18	3	2011	469913c6-08bb-4c19-8a68-2735f5c4f981	20	A13A	21
TCGA-A2-A04Y-01A	TCGA-A2-A04Y-01A-11-A13A-20	18	3	2011	b850ebdc-d177-4c59-8c71-9cf8dd589307	20	A13A	11
TCGA-A2-A0CL-01A	TCGA-A2-A0CL-01A-21-A13C-20	18	3	2011	f660575f-37ae-427d-acf6-767799017d6d	20	A13C	21
TCGA-A2-A0CM-01A	TCGA-A2-A0CM-01A-21-A13C-20	18	3	2011	bd38e599-aa6d-4349-b7de-630514cc1220	20	A13C	21
TCGA-A2-A0CP-01A	TCGA-A2-A0CP-01A-21-A13B-20	17	3	2011	901a41bd-d57b-46b6-afec-bfc93e5d2c93	20	A13B	21
